date;year;month;country_id;country;variable;value
1975-03-01;1975;3;1;AUS;rhpi;39.15
1975-06-01;1975;6;1;AUS;rhpi;38.48
1975-09-01;1975;9;1;AUS;rhpi;38.59
1975-12-01;1975;12;1;AUS;rhpi;37.73
1976-03-01;1976;3;1;AUS;rhpi;37.94
1976-06-01;1976;6;1;AUS;rhpi;38.11
1976-09-01;1976;9;1;AUS;rhpi;38.33
1976-12-01;1976;12;1;AUS;rhpi;37.88
1977-03-01;1977;3;1;AUS;rhpi;37.93
1977-06-01;1977;6;1;AUS;rhpi;37.72
1977-09-01;1977;9;1;AUS;rhpi;37.72
1977-12-01;1977;12;1;AUS;rhpi;37.40
1978-03-01;1978;3;1;AUS;rhpi;37.74
1978-06-01;1978;6;1;AUS;rhpi;37.42
1978-09-01;1978;9;1;AUS;rhpi;37.53
1978-12-01;1978;12;1;AUS;rhpi;36.96
1979-03-01;1979;3;1;AUS;rhpi;37.10
1979-06-01;1979;6;1;AUS;rhpi;36.93
1979-09-01;1979;9;1;AUS;rhpi;38.71
1979-12-01;1979;12;1;AUS;rhpi;40.27
1980-03-01;1980;3;1;AUS;rhpi;41.56
1980-06-01;1980;6;1;AUS;rhpi;42.68
1980-09-01;1980;9;1;AUS;rhpi;42.99
1980-12-01;1980;12;1;AUS;rhpi;42.57
1981-03-01;1981;3;1;AUS;rhpi;44.96
1981-06-01;1981;6;1;AUS;rhpi;45.41
1981-09-01;1981;9;1;AUS;rhpi;43.77
1981-12-01;1981;12;1;AUS;rhpi;44.54
1982-03-01;1982;3;1;AUS;rhpi;43.24
1982-06-01;1982;6;1;AUS;rhpi;43.24
1982-09-01;1982;9;1;AUS;rhpi;41.34
1982-12-01;1982;12;1;AUS;rhpi;40.29
1983-03-01;1983;3;1;AUS;rhpi;40.36
1983-06-01;1983;6;1;AUS;rhpi;40.98
1983-09-01;1983;9;1;AUS;rhpi;40.45
1983-12-01;1983;12;1;AUS;rhpi;40.77
1984-03-01;1984;3;1;AUS;rhpi;41.96
1984-06-01;1984;6;1;AUS;rhpi;42.58
1984-09-01;1984;9;1;AUS;rhpi;43.94
1984-12-01;1984;12;1;AUS;rhpi;43.06
1985-03-01;1985;3;1;AUS;rhpi;44.82
1985-06-01;1985;6;1;AUS;rhpi;44.05
1985-09-01;1985;9;1;AUS;rhpi;44.07
1985-12-01;1985;12;1;AUS;rhpi;44.47
1986-03-01;1986;3;1;AUS;rhpi;44.30
1986-06-01;1986;6;1;AUS;rhpi;45.18
1986-09-01;1986;9;1;AUS;rhpi;44.33
1986-12-01;1986;12;1;AUS;rhpi;43.77
1987-03-01;1987;3;1;AUS;rhpi;43.59
1987-06-01;1987;6;1;AUS;rhpi;43.23
1987-09-01;1987;9;1;AUS;rhpi;43.36
1987-12-01;1987;12;1;AUS;rhpi;44.67
1988-03-01;1988;3;1;AUS;rhpi;45.95
1988-06-01;1988;6;1;AUS;rhpi;47.49
1988-09-01;1988;9;1;AUS;rhpi;51.29
1988-12-01;1988;12;1;AUS;rhpi;55.59
1989-03-01;1989;3;1;AUS;rhpi;59.38
1989-06-01;1989;6;1;AUS;rhpi;59.06
1989-09-01;1989;9;1;AUS;rhpi;58.34
1989-12-01;1989;12;1;AUS;rhpi;57.60
1990-03-01;1990;3;1;AUS;rhpi;57.17
1990-06-01;1990;6;1;AUS;rhpi;56.51
1990-09-01;1990;9;1;AUS;rhpi;55.70
1990-12-01;1990;12;1;AUS;rhpi;54.65
1991-03-01;1991;3;1;AUS;rhpi;54.50
1991-06-01;1991;6;1;AUS;rhpi;54.95
1991-09-01;1991;9;1;AUS;rhpi;56.15
1991-12-01;1991;12;1;AUS;rhpi;55.57
1992-03-01;1992;3;1;AUS;rhpi;55.08
1992-06-01;1992;6;1;AUS;rhpi;55.09
1992-09-01;1992;9;1;AUS;rhpi;55.03
1992-12-01;1992;12;1;AUS;rhpi;55.13
1993-03-01;1993;3;1;AUS;rhpi;55.42
1993-06-01;1993;6;1;AUS;rhpi;55.30
1993-09-01;1993;9;1;AUS;rhpi;55.43
1993-12-01;1993;12;1;AUS;rhpi;55.60
1994-03-01;1994;3;1;AUS;rhpi;55.98
1994-06-01;1994;6;1;AUS;rhpi;56.43
1994-09-01;1994;9;1;AUS;rhpi;57.26
1994-12-01;1994;12;1;AUS;rhpi;56.49
1995-03-01;1995;3;1;AUS;rhpi;56.72
1995-06-01;1995;6;1;AUS;rhpi;55.63
1995-09-01;1995;9;1;AUS;rhpi;55.51
1995-12-01;1995;12;1;AUS;rhpi;55.02
1996-03-01;1996;3;1;AUS;rhpi;54.63
1996-06-01;1996;6;1;AUS;rhpi;54.97
1996-09-01;1996;9;1;AUS;rhpi;55.28
1996-12-01;1996;12;1;AUS;rhpi;55.02
1997-03-01;1997;3;1;AUS;rhpi;55.34
1997-06-01;1997;6;1;AUS;rhpi;55.83
1997-09-01;1997;9;1;AUS;rhpi;56.80
1997-12-01;1997;12;1;AUS;rhpi;57.52
1998-03-01;1998;3;1;AUS;rhpi;58.78
1998-06-01;1998;6;1;AUS;rhpi;59.61
1998-09-01;1998;9;1;AUS;rhpi;59.80
1998-12-01;1998;12;1;AUS;rhpi;60.76
1999-03-01;1999;3;1;AUS;rhpi;61.78
1999-06-01;1999;6;1;AUS;rhpi;62.60
1999-09-01;1999;9;1;AUS;rhpi;63.77
1999-12-01;1999;12;1;AUS;rhpi;65.39
